n,p,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean
50,2.0,1035.35,3.227,3600.0,4.96e-01,9.12e-02
50,2.5,1038.75,3.219,3600.0,7.00e-02,2.11e-02
50,3.0,1053.75,3.174,3600.0,3.21e-02,1.56e-02
75,2.0,191.55,18.3,3600.0,2.63e-01,1.59e-01
75,2.5,199.3,17.54,3600.0,3.11e-02,1.98e-02
75,3.0,197.15,17.77,3600.0,1.91e-02,1.26e-02
100,2.0,59.5,59.95,3600.0,1.93e-01,1.31e-01
100,2.5,59.85,59.72,3600.0,3.29e-02,2.48e-02
100,3.0,59.35,60.36,3600.0,1.03e-02,7.95e-03
125,2.0,23.85,152.6,3600.0,1.48e-01,1.26e-01
125,2.5,24.4,148.7,3600.0,2.00e-02,1.82e-02
125,3.0,24.2,150.2,3600.0,7.39e-03,5.77e-03
150,2.0,11.0,340.2,3600.0,1.14e-01,1.01e-01
150,2.5,11.35,334.3,3600.0,1.55e-02,1.35e-02
150,3.0,11.1,337.5,3600.0,4.39e-03,2.75e-03
